bugNumber,summary,severity,priority,testBlocking,globalState,component,subComponent,releaseState,releaseDetected,targetReleaseId,creator,verifier,assignedTo,creatorManager,verifierManager,udfFeature,passedPreviously,lastPassBuild,metaData,keyName,reportedByCustomer,creationTimeStamp,crState
app0000240,"Support discovery on vlans other than untagged.","5 - New Feature","3 - Important",,Verified,Config,,Verified,CloudConnector-3.0.0,3359,bickford,dmccarth,,"Flaherty, Stephen",,,,,,,,2017-07-12,closed
xos0051464,"Command ""debug hal configure stacking port 1 enable"" not working in stack","3 - Minor","3 - Important",,Verified,System,Stacking,Verified,"EXOS 15.4.1",3359,sadurai,sadurai,,"Shankar Palanivel",,"Existing Feature",No,,,,RBC-INTERNAL,2013-04-01,closed
xos0052030,"XNV vm-map:Policy given in vm-map files are not getting applied to vpps when we","3 - Minor","4 - Moderate",,Verified,DC,XNV,Verified,"EXOS 15.4.1",3359,sjamaludeen,sjamaludeen,,"Raj Velusamy",,"Existing Feature",No,,,,,2013-05-20,closed
xos0052429,"Whenenver load script something.xsf is used and there is an error the error sho","5 - New Feature","4 - Moderate",,Verified,Infrastructure,exsh,Verified,"EXOS 15.4.1",3359,sasrinivasan,sasrinivasan,,"Gopla Ramkumar",,"Existing Feature",No,,,,,2013-06-18,closed
xos0052545,"After withdrawl of route recd. over PE-CE bgp session , same prefix route from ","3 - Minor","3 - Important",,Verified,IP,VR/VRF/L3VPN,Verified,"EXOS 15.4.1",3359,nmehta,pragunathan,,,,"Existing Feature",No,,,,RBC-INTERNAL,2013-06-26,closed
xos0052686," Error  <Warn:AAA.RADIUS.unknownExtrVsa> radDecodeVsa: Unknown EXTREME VSA 217 ","3 - Minor","3 - Important",,Verified,DC,XNV,Verified,"EXOS 15.4.1",3359,sasrinivasan,sasrinivasan,,"Gopla Ramkumar",,"Existing Feature",No,,,,,2013-07-08,closed
xos0054732,"issue: install xmod with ""reboot"" option does not reboot the switch","3 - Minor","4 - Moderate",,Verified,System,Devices,Verified,"EXOS 15.5.1",3359,lkuppan,lkuppan,,"Shankar Palanivel",,"Existing Feature",No,,,,,2014-02-04,closed
xos0054967,"When we configure the sys-recovery-level to none, and kill a process , using �k","3 - Minor","3 - Important",,Verified,System,HealthCheck,Verified,"EXOS 15.5.1",3359,sramasubramanian,sramasubramanian,,"Shankar Palanivel",,"Existing Feature",No,,,,,2014-02-21,closed
xos0054992,"BCM:All - After expiring 120 days trial-license and automatic Reboot, All proce","2 - Major","3 - Important",,Verified,System,Devices,Verified,"EXOS 15.5.1",3359,dranganathan,dranganathan,,"Shankar Palanivel",,"Existing Feature",No,,,,,2014-02-24,closed
xos0055684,"BCM:Summit All : Process exsh crashed,  while doing repeated file copy operatio","1 - Crash","3 - Important",,Verified,Infrastructure,exsh,Verified,"EXOS 15.5.1",3359,dranganathan,dranganathan,,"Shankar Palanivel",,"Existing Feature",No,,,,,2014-04-30,closed
xos0056211,"EnityFRU values not populated correctly for X460G2/X460 device","3 - Minor","4 - Moderate",,Verified,System,SNMP,Verified,,3359,samarasekaran,samarasekaran,,"Hariharan Narayanan",,,,,,,,2014-06-05,closed
xos0056372,"extremeRPSalarms not sent when changes are done to EPS","4 - Trivial","5 - Low",,Verified,Infrastructure,DM,Verified,,3359,samarasekaran,samarasekaran,,"Hariharan Narayanan",,,,,,,,2014-06-13,closed
xos0056487,"15.4.1.3 Request  clipaging default mode","5 - New Feature","5 - Low",,Verified,Infrastructure,CM,Verified,"EXOS 15.4.1",3359,echaput,echaput,,"Fee, Brendan",,,,,,,,2014-02-14,closed
xos0056980,"Improper Error thrown for a script run without any arguments","3 - Minor","4 - Moderate",,Verified,Infrastructure,CLI,Verified,"EXOS 15.6.1",3359,sganeshbabu,rvelusamy,,"Raj Velusamy",,,,,,,,2014-06-19,closed
