bugNumber,summary,severity,priority,testBlocking,globalState,component,subComponent,releaseState,releaseDetected,targetReleaseId,creator,verifier,assignedTo,creatorManager,verifierManager,udfFeature,passedPreviously,lastPassBuild,metaData,keyName,reportedByCustomer,creationTimeStamp,crState
xos0052373,"aclKernAddDynRule : File exists msg seen on pusing policy/roles from EMC","3 - Minor","3 - Important",,Assigned,Security,"ID Mgmt",Assigned,"EXOS 15.4.1",3477,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2013-06-13,open
xos0053118,"While the applications go down, the exacl needs to clean up the rules that are ","3 - Minor","3 - Important",,Verified,NET,Tools,Verified,"EXOS 15.4.1",3477,ajosephantilraj,ajosephantilraj,,"Gopla Ramkumar",,"Existing Feature",No,,,,,2013-08-19,closed
xos0058501,"Create failsafe key for one-time password generation tool","3 - Minor","3 - Important",No,Assigned,"Build Tools",General,Assigned,,3477,prajoshi,dcarson,jfagan,"Jones, Jeff","Jones, Jeff",,,,,,,2014-10-15,open
xos0061880,"i386 VM EPM pid 1373 died w/signal 4 when use only NIC VMXNET drivers","1 - Crash","3 - Important",,"Verify Fix",Infrastructure,EPM,"Verify Fix","EXOS 16.1.1",3477,jcarroll,jcarroll,jcarroll,"Kathirvel, Elangomaran","Kathirvel, Elangomaran",,,,,,,2015-06-12,sqaPending
xos0062519,"Need a CLI to list the ARP pending entries","5 - New Feature","5 - Low",,"Verify Fix",IP,,"Verify Fix","EXOS 21.1.1",3477,pilango,pilango,mkaleemullah,"Raj Velusamy","Raj Velusamy",,,,,,,2015-09-08,sqaPending
xos0062636,"Copper combo ports not coming up when fallback occurs from fiber ports(speed=1G)","2 - Major","3 - Important",,Assigned,System,Devices,Assigned,"EXOS 21.1.1",3477,bnavaneethapandian,spalanivel,gilligan,"Shankar Palanivel","Fee, Brendan",,,,,,,2015-09-22,open
xos0062748,"X670v/BD8kFailed to install dynamic acl dot1agSysMAC when restart process dot1ag","2 - Major","3 - Important",No,Verified,System,ACL,Verified,"EXOS 16.1.2",3477,naarumugam,naarumugam,,"Suresh Babu Thuravupala",,,Yes,15.7.1.4,,,,2015-09-30,closed
xos0062996,"VPLS: Traffic is not forwarded to service port when CEP Egress filtering enabled","2 - Major","3 - Important",,Assigned,MPLS,VPLS/HVPLS,Assigned,"EXOS 21.1.1",3477,pragunathan,pragunathan,lkhirall,"Gopla Ramkumar","Fee, Brendan",,No,,,,,2015-10-30,open
xos0063212,"Bright Hope: Linux 4.9 exosmc.ko cleanup","3 - Minor","5 - Low",No,"Task Complete",System,,"Task Complete","EXOS 16.3.1-linux-318",3477,alim,sasingh,,"Tim Bourne",,,,,,,,2015-12-01,closed
xos0063583,"Stacking Enhancement for Show Stacking-Support","4 - Trivial","4 - Moderate",,Assigned,System,,Assigned,"EXOS 30.1.1",3022,rpanizza,rpanizza,dtalipadiravindra,"Daya Narayana","Daya Narayana",,,,,,,2016-02-05,futureScope
xos0065248,"Netlogin WEB:Ipaddr not shown in sh netlogin web which is authenticated on isolated vlan","3 - Minor","3 - Important",No,Verified,Security,Netlogin,Verified,"EXOS 22.1.1",3477,sjamaludeen,sjamaludeen,,"Raj Velusamy",,,No,,,,,2016-08-18,closed
xos0065521,"Noti:FDB.MACTracking.MACMove message is not displayed in “show log”","3 - Minor","3 - Important",No,Assigned,L2,FDB,Assigned,"EXOS 22.1.1",3477,rajakka,rajakka,mmanda,"Suresh Babu Thuravupala","Anand Sundaresh Natarajan",,Yes,15.6.3.1,,,,2016-09-15,open
xos0066360,"Dhcpv6client:nettools process crashed with 11 on disabling and enabling dhcp ipv6 on vlan","1 - Crash","3 - Important",,Verified,NET,DHCP/BOOTP,Verified,"EXOS 22.2.1",3477,sjamaludeen,sjamaludeen,,"Raj Velusamy",,,,,,,,2016-11-18,closed
xos0066393,"*EEE is not working on 2.5 and 5 G port speed in x620-16p","2 - Major","3 - Important",No,Assigned,L2,General,Assigned,"EXOS 22.2.1",3477,pvenkat,pvenkat,motor,"Shankar Palanivel","Fee, Brendan",,,,,,,2016-11-22,open
xos0066522,"False link up of ports with 10G optics when the other end is connected to VIM-2x","3 - Minor","4 - Moderate",No,Assigned,System,Optics,Assigned,"EXOS 22.2.1",3477,bjyothsna,bjyothsna,gilligan,"Shankar Palanivel","Fee, Brendan",,,,,,,2016-12-03,open
xos0066541,"*Simba/X620-16p: port flap seen while enable eee on port configured with 100 mb on multi-rate ports","2 - Major","3 - Important",No,Assigned,System,"Port General",Assigned,"EXOS 22.2.1",3477,slakshmanan,slakshmanan,motor,"Shankar Palanivel","Fee, Brendan",,,,,,,2016-12-07,open
xos0066655,"VPLS: Traffic for service VLAN is not forwarded after deleting service VMAN from VPLS","3 - Minor","3 - Important",,Assigned,MPLS,VPLS/HVPLS,Assigned,"EXOS 22.2.1",3477,pragunathan,pragunathan,lkhirall,"Gopla Ramkumar","Fee, Brendan",,No,,,,,2016-12-15,open
xos0066685,"VPLS Scaling: LDP adjacency flaps continuously with scaling of 7k VPLS PW on switch","2 - Major","2 - Urgent",No,Assigned,MPLS,VPLS/HVPLS,Assigned,"EXOS 22.2.1",3477,srbalakrishnan,srbalakrishnan,lkhirall,"Gopla Ramkumar","Fee, Brendan",,Yes,21.1.0.24,,,,2016-12-17,open
xos0067351,"ELRP Source MAC needs to change from 00:e0:2b:00:00:01 to a unique MAC address per switch","5 - New Feature","3 - Important",,Verified,L2,ELRP,Verified,"EXOS 15.7.1",3477,stewilliams,mkaleemullah,,"Donald Smith",,,,,,,,2017-03-15,closed
xos0067476,"VxLAN ARP suppression: Tunnel learnt ARP entries not checkpointed to MLAG peer","5 - New Feature","5 - Low",,Assigned,L2,VxLAN,Assigned,"EXOS 22.3.1",3477,sasrinivasan,sasrinivasan,bramu,"Gopla Ramkumar","Anand Sundaresh Natarajan",,,,,,,2017-03-24,open
xos0067672,"With VPLS limit-learning, Blackhole entry is not created for the mac address above configured limit","2 - Major","3 - Important",No,Assigned,MPLS,VPLS/HVPLS,Assigned,"EXOS 22.3.1",3477,rtavva,rtavva,lkhirall,"Suresh Babu Thuravupala","Fee, Brendan",,No,,,,,2017-04-07,open
xos0067881,"VLAN ""Tx Frame Count"" not increments for L2VPN service VLAN having untagged port","3 - Minor","4 - Moderate",,Assigned,MPLS,VPLS/HVPLS,Assigned,"EXOS 22.2.1",3477,srbalakrishnan,srbalakrishnan,lkhirall,"Gopla Ramkumar","Fee, Brendan",,No,,,,,2017-04-21,open
